ID,Tipo,SKU,"GTIN, UPC, EAN, o ISBN",Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterno,Testo del pulsante,Posizione,Marchi,Meta: _asin,Meta: _amazon_url,Meta: _et_builder_dynamic_assets_loading_attr_threshold,Meta: _last_change_time,Meta: _et_pb_post_hide_nav,Meta: _et_pb_page_layout,Meta: _et_pb_side_nav,Meta: _et_pb_use_builder,Meta: _et_pb_first_image,Meta: _et_pb_truncate_post,Meta: _et_pb_truncate_post_date,Meta: _et_pb_old_content
,simple,FAN86436,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 5.1,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6GOITK,https://www.amazon.it/dp/B00GIMD3L2,,,,,,,,,,
,simple,FAN86438,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 7.1,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6EM3Z4,https://www.amazon.it/dp/B00GIMD4MK,,,,,,,,,,
,simple,FAN86439,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 8.1,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6OT3DY,https://www.amazon.it/dp/B00GIMD5DS,,,,,,,,,,
,simple,FAN86440,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 9.1,1,,visible,,,,,taxable,,1,6,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6L7HHH,https://www.amazon.it/dp/B00GIMDAIS,,,,,,,,,,
,simple,FAN86444,,FANOLA COLOR COLOR KERATIN ORO PURO CIOCCOLATO 6.14,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6KU5CA,https://www.amazon.it/dp/B01EJY3ZM2,,,,,,,,,,
,simple,FAN86445,,FANOLA COLOR COLOR KERATIN ORO PURO DORATI 5.3,1,,visible,,,,,taxable,,1,2,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6EPZVX,https://www.amazon.it/dp/B01EJY6I76,,,,,,,,,,
,simple,FAN86446,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 6.3,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0430H2QJ60I,https://www.amazon.it/dp/B01EJYA38Q,,,,,,,,,,
,simple,FAN86448,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 8.3,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0514HKK46FJ,https://www.amazon.it/dp/B01EJYET9K,,,,,,,,,,
,simple,FAN86449,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 9.3,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6L5E7D,https://www.amazon.it/dp/B01EJYFKVG,,,,,,,,,,
,simple,FAN86452,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 7.4,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6EN99N,https://www.amazon.it/dp/B01EJYZ7I2,,,,,,,,,,
,simple,FAN86453,,FANOLA Tintura Oro Therapy Color Keratin Senza Ammoniaca 4.5,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6GAXS2,https://www.amazon.it/dp/B01EJZ3440,,,,,,,,,,
,simple,FAN86454,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 5.5,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6HCW8I,https://www.amazon.it/dp/B01EJZ4CSC,,,,,,,,,,
,simple,FAN86456,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 6.6,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,117.90,Fanola,,,,,,,,,,,,,,0423H6HSI3K,https://www.amazon.it/dp/B01EJZ8ZYE,,,,,,,,,,
,simple,FAN86458,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 10.1,1,,visible,,,,,taxable,,1,6,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0423H6HGGYF,https://www.amazon.it/dp/B00GIMDB46,,,,,,,,,,
,simple,FAN86462,,FANOLA TINTURA ORO THERAPY COLOR KERATIN SENZA AMMONIACA 11.1,1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,11.80,Fanola,,,,,,,,,,,,,,0514HKKVELM,https://www.amazon.it/dp/B01EJZRGK8,,,,,,,,,,
,simple,FAN86467,,"FANOLA, Oro Puro Therapy Gold Activator - Attivatore, 1l, 3%",1,,visible,,,,,taxable,,0,0,,,0,,,,,,,,,Fanola,,,,,,,,,,,,,,0205HCMI289,https://www.amazon.it/dp/B01EZ5RCTW,,,,,,,,,,
